continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,iso3,capital,name,description,main.temp_max,main.temp_min
Africa,Comoros,2024-08-04,9109.0,0.0,0.0,160.0,0.0,0.0,10919.549,COM,moroni,moroni,moderate rain,300.81,300.81
Africa,Congo,2024-08-04,25227.0,0.0,0.0,389.0,0.0,0.0,4180.042,COG,brazzaville,brazzaville,overcast clouds,304.03,304.03
Oceania,Cook Islands,2024-08-04,7345.0,1.0,0.143,2.0,0.0,0.0,498067.4,COK,avarua,avarua,few clouds,298.18,298.18
North America,Costa Rica,2024-08-04,1234701.0,0.0,0.0,9372.0,0.0,0.0,242966.97,CRI,san jose,san jose,broken clouds,284.17,280.01
Africa,Cote d'Ivoire,2024-08-04,88434.0,0.0,0.0,835.0,0.0,0.0,2909.492,CIV,yamoussoukro,yamoussoukro,moderate rain,300.99,300.99
North America,Cuba,2024-08-04,1113662.0,0.0,0.0,8530.0,0.0,0.0,100694.4,CUB,havana,havana,clear sky,298.44,298.39
North America,Curacao,2024-08-04,45883.0,0.0,0.0,305.0,0.0,0.0,247546.55,CUW,willemstad,willemstad,broken clouds,299.74,299.74
Europe,Cyprus,2024-08-04,696410.0,0.0,0.0,1451.0,0.0,0.0,523075.38,CYP,nicosia,nicosia,broken clouds,282.98,282.98
Europe,Czechia,2024-08-12,4761919.0,571.0,81.571,43509.0,1.0,0.143,446155.97,CZE,prague,prague,clear sky,285.32,283.87
Africa,Democratic Republic of Congo,2024-08-04,101009.0,0.0,0.0,1474.0,0.0,0.0,986.445,COD,kinshasa,kinshasa,overcast clouds,304.04,304.04
Europe,Denmark,2024-08-04,3435679.0,0.0,0.0,9693.0,0.0,0.0,582032.56,DNK,copenhagen,copenhagen,clear sky,283.34,282.67
Africa,Djibouti,2024-08-04,15690.0,0.0,0.0,189.0,0.0,0.0,13798.259,DJI,djibouti,djibouti,broken clouds,297.58,297.58
North America,Dominica,2024-08-04,16047.0,0.0,0.0,74.0,0.0,0.0,240044.88,DMA,roseau,roseau,light rain,299.64,299.64
North America,Dominican Republic,2024-08-04,661103.0,0.0,0.0,4384.0,0.0,0.0,58865.52,DOM,santo domingo,santo domingo,few clouds,301.95,300.89
Asia,East Timor,2024-08-04,23460.0,0.0,0.0,138.0,0.0,0.0,17132.854,TLS,dili,dili,overcast clouds,299.94,299.94
South America,Ecuador,2024-08-04,1077445.0,157.0,22.429,36050.0,0.0,0.0,60449.453,ECU,quito,quito,light rain,290.68,290.68
Africa,Egypt,2024-08-04,516023.0,0.0,0.0,24830.0,0.0,0.0,4582.054,EGY,cairo,cairo,clear sky,293.18,293.18
North America,El Salvador,2024-08-04,201920.0,3.0,0.429,4230.0,0.0,0.0,32151.248,SLV,san salvador,san salvador,few clouds,301.41,301.41
Africa,Equatorial Guinea,2024-08-04,17130.0,0.0,0.0,183.0,0.0,0.0,9497.935,GNQ,malabo,malabo,light rain,301.48,301.48
Africa,Eritrea,2024-08-04,10189.0,0.0,0.0,103.0,0.0,0.0,2988.457,ERI,asmara,asmara,light rain,291.6,291.6
Europe,Estonia,2024-08-12,610471.0,0.0,0.0,2998.0,0.0,0.0,452169.94,EST,tallinn,tallinn,clear sky,278.34,277.01
Africa,Eswatini,2024-08-04,75356.0,0.0,0.0,1427.0,0.0,0.0,61821.89,SWZ,mbabane,mbabane,light rain,289.31,289.31
Africa,Ethiopia,2024-08-04,501193.0,0.0,0.0,7574.0,0.0,0.0,3997.255,ETH,addis ababa,addis ababa,light rain,288.08,288.08
South America,Falkland Islands,2024-08-04,1923.0,0.0,0.0,0.0,0.0,0.0,547083.94,FLK,stanley,stanley,clear sky,283.43,283.16
Oceania,Fiji,2024-08-04,69047.0,0.0,0.0,885.0,0.0,0.0,75097.78,FJI,suva,suva,broken clouds,297.86,297.86
Europe,Finland,2024-08-04,1499712.0,0.0,0.0,11466.0,0.0,0.0,269281.97,FIN,helsinki,helsinki,clear sky,279.36,277.65
Europe,France,2024-08-04,38997490.0,,,168091.0,,,606706.0,FRA,paris,paris,clear sky,291.56,290.49
South America,French Guiana,2024-08-04,98041.0,0.0,0.0,413.0,0.0,0.0,328644.84,GUF,cayenne,cayenne,broken clouds,301.17,301.17
Oceania,French Polynesia,2024-08-04,79387.0,47.0,6.714,650.0,0.0,0.0,283131.66,PYF,papeete,papeete,clear sky,298.11,298.1
Africa,Gabon,2024-08-04,49051.0,0.0,0.0,307.0,0.0,0.0,20179.352,GAB,libreville,libreville,scattered clouds,301.17,301.17
