continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,iso3,capital,name,description,main.temp_max,main.temp_min
Europe,Sweden,2024-08-04,2755181.0,630.0,90.0,27399.0,28.0,4.0,262715.12,SWE,stockholm,stockholm,clear sky,285.01,283.81
Europe,Switzerland,2024-08-04,4457868.0,426.0,60.857,14170.0,0.0,0.0,507026.47,CHE,bern,bern,clear sky,288.23,286.17
Asia,Syria,2024-08-04,57423.0,0.0,0.0,3163.0,0.0,0.0,2556.432,SYR,damascus,damascus,clear sky,287.57,287.57
Asia,Tajikistan,2024-08-04,17786.0,0.0,0.0,125.0,0.0,0.0,1746.769,TJK,dushanbe,dushanbe,clear sky,290.05,290.05
Africa,Tanzania,2024-08-04,43230.0,0.0,0.0,846.0,0.0,0.0,668.039,TZA,dodoma,dodoma,overcast clouds,295.7,295.7
Asia,Thailand,2024-08-04,4799180.0,560.0,80.0,34715.0,1.0,0.143,66901.21,THA,bangkok,bangkok,overcast clouds,303.12,300.32
Oceania,Tonga,2024-08-04,16976.0,0.0,0.0,12.0,0.0,0.0,161594.62,TON,nuku'alofa,nuku'alofa,light rain,299.34,299.34
North America,Trinidad and Tobago,2024-08-04,191496.0,0.0,0.0,4390.0,0.0,0.0,128012.02,TTO,port of spain,port of spain,scattered clouds,305.35,305.35
Asia,Turkey,2024-08-04,17004718.0,0.0,0.0,101419.0,0.0,0.0,195325.25,TUR,ankara,ankara,overcast clouds,273.66,273.26
Asia,Turkmenistan,2024-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TKM,ashgabat,ashgabat,scattered clouds,298.89,298.89
North America,Turks and Caicos Islands,2024-08-04,6805.0,0.0,0.0,40.0,0.0,0.0,148357.28,TCA,cockburn town,cockburn town,clear sky,296.31,296.31
Oceania,Tuvalu,2024-08-04,2943.0,0.0,0.0,1.0,0.0,0.0,293947.25,TUV,funafuti,funafuti,few clouds,302.15,302.15
Africa,Uganda,2024-08-04,172154.0,0.0,0.0,3632.0,0.0,0.0,3638.641,UGA,kampala,kampala,overcast clouds,295.33,295.33
Europe,Ukraine,2024-08-04,5532777.0,171.0,24.429,109920.0,0.0,0.0,134785.47,UKR,kyiv,kyiv,overcast clouds,280.22,280.22
Asia,United Arab Emirates,2024-08-04,1067030.0,0.0,0.0,2349.0,0.0,0.0,104180.94,ARE,abu dhabi,abu dhabi,clear sky,299.23,299.23
Europe,United Kingdom,2024-08-04,24974629.0,3400.0,485.714,232112.0,0.0,0.0,366308.0,GBR,london,london,overcast clouds,290.68,289.1
North America,United States,2024-08-04,103436829.0,,,1193165.0,619.0,88.429,302859.5,USA,washington,washington,overcast clouds,273.47,273.18
North America,United States Virgin Islands,2024-08-04,25389.0,0.0,0.0,132.0,0.0,0.0,293443.22,VIR,charlotte amalie,charlotte amalie,broken clouds,301.0,301.0
South America,Uruguay,2024-08-04,1041346.0,15.0,2.143,7682.0,0.0,0.0,307099.0,URY,montevideo,montevideo,broken clouds,297.36,294.55
Asia,Uzbekistan,2024-08-04,175081.0,0.0,0.0,1016.0,0.0,0.0,5011.054,UZB,tashkent,tashkent,clear sky,295.12,295.12
Europe,Vatican,2024-08-04,26.0,0.0,0.0,0.0,0.0,0.0,50682.26,VAT,vatican city,vatican city,clear sky,287.12,285.86
South America,Venezuela,2024-08-04,552695.0,0.0,0.0,5856.0,0.0,0.0,19590.072,VEN,caracas,caracas,overcast clouds,299.91,298.53
Asia,Vietnam,2024-08-04,11624000.0,0.0,0.0,43206.0,0.0,0.0,116612.4,VNM,hanoi,hanoi,overcast clouds,292.15,292.15
Asia,Yemen,2024-08-04,11945.0,0.0,0.0,2159.0,0.0,0.0,312.509,YEM,sanaa,sanaa,overcast clouds,290.44,290.44
Africa,Zambia,2024-08-04,349842.0,18.0,2.571,4077.0,0.0,0.0,17359.357,ZMB,lusaka,lusaka,broken clouds,292.39,292.39
Africa,Zimbabwe,2024-08-04,266386.0,0.0,0.0,5740.0,0.0,0.0,16577.57,ZWE,harare,harare,broken clouds,295.27,295.27
