name,description,main.temp_max,main.temp_min
Asunción,few clouds,307.31,305.84
Lima,few clouds,295.29,295.29
Manila,broken clouds,300.44,299.29
Adamstown,light rain,297.41,297.41
Warsaw,clear sky,283.59,281.36
Lisbon,moderate rain,289.57,288.22
San Juan,clear sky,304.33,304.33
Doha,clear sky,300.32,298.14
Arrondissement de Saint-Denis,clear sky,291.56,290.49
Bucharest,clear sky,282.2,280.85
Moscow,overcast clouds,277.8,277.39
Kigali,scattered clouds,295.86,295.86
Gustavia,broken clouds,300.44,300.44
Jamestown,clear sky,292.9,291.95
Basseterre,few clouds,302.36,302.36
Castries,few clouds,302.35,302.35
Marigot,broken clouds,299.36,299.36
Saint-Pierre,light rain,299.97,299.97
Kingstown,broken clouds,304.75,304.75
Apia,overcast clouds,301.99,301.99
San Marino,clear sky,282.39,280.55
São Tomé,overcast clouds,301.25,301.25
Riyadh,few clouds,303.71,303.71
Dakar,clear sky,294.5,294.5
Belgrade,clear sky,282.22,280.59
Hong Kong,clear sky,291.66,289.24
Freetown,broken clouds,300.06,300.06
Singapore,heavy intensity rain,297.12,296.98
Philipsburg,broken clouds,300.88,300.88
Bratislava,clear sky,282.96,282.35
Ljubljana,clear sky,284.63,280.88
Honiara,scattered clouds,299.0,299.0
Mogadishu,broken clouds,300.49,300.49
Pretoria,scattered clouds,294.02,294.02
Seoul,mist,274.91,272.93
Juba,light rain,299.57,299.57
Madrid,broken clouds,289.83,288.27
Colombo,overcast clouds,300.63,300.63
Khartoum,scattered clouds,309.04,309.04
Distrikt Paramaribo,broken clouds,305.1,305.1
Stockholm,clear sky,285.01,283.81
Bern,clear sky,288.23,286.17
Damascus,clear sky,287.57,287.57
Dushanbe,clear sky,290.05,290.05
Dodoma,overcast clouds,295.7,295.7
Bangkok,overcast clouds,303.12,300.32
Lomé,overcast clouds,307.1,307.1
Nan,scattered clouds,297.15,297.15
Nuku'alofa,light rain,299.34,299.34
Port of Spain,scattered clouds,305.35,305.35
Tunisia,clear sky,293.84,293.84
Ankara,overcast clouds,273.66,273.26
Ashgabat,scattered clouds,298.89,298.89
Cockburn Town,clear sky,296.31,296.31
Funafuti,few clouds,302.15,302.15
Kampala,overcast clouds,295.33,295.33
Kyiv,overcast clouds,280.22,280.22
Abu Dhabi,clear sky,299.23,299.23
London,overcast clouds,290.68,289.1
Washington,overcast clouds,273.47,273.18
Charlotte Amalie,broken clouds,301.0,301.0
Montevideo,broken clouds,297.36,294.55
Tashkent,clear sky,295.12,295.12
Port-Vila,few clouds,297.93,297.93
Vatican City,clear sky,287.12,285.86
Caracas,overcast clouds,299.91,298.53
Hanoi,overcast clouds,292.15,292.15
Mata-Utu,overcast clouds,301.39,301.39
Sanaa,overcast clouds,290.44,290.44
Lusaka,broken clouds,292.39,292.39
Harare,broken clouds,295.27,295.27
