continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,iso3,capital
Africa,Democratic Republic of Congo,2024-08-04,101009.0,0.0,0.0,1474.0,0.0,0.0,986.445,COD,Kinshasa
Europe,Denmark,2024-08-04,3435679.0,0.0,0.0,9693.0,0.0,0.0,582032.56,DNK,Copenhagen
Africa,Djibouti,2024-08-04,15690.0,0.0,0.0,189.0,0.0,0.0,13798.259,DJI,Djibouti
North America,Dominica,2024-08-04,16047.0,0.0,0.0,74.0,0.0,0.0,240044.88,DMA,Roseau
North America,Dominican Republic,2024-08-04,661103.0,0.0,0.0,4384.0,0.0,0.0,58865.52,DOM,Santo Domingo
Asia,East Timor,2024-08-04,23460.0,0.0,0.0,138.0,0.0,0.0,17132.854,TLS,Dili
South America,Ecuador,2024-08-04,1077445.0,157.0,22.429,36050.0,0.0,0.0,60449.453,ECU,Quito
Africa,Egypt,2024-08-04,516023.0,0.0,0.0,24830.0,0.0,0.0,4582.054,EGY,Cairo
North America,El Salvador,2024-08-04,201920.0,3.0,0.429,4230.0,0.0,0.0,32151.248,SLV,San Salvador
Africa,Equatorial Guinea,2024-08-04,17130.0,0.0,0.0,183.0,0.0,0.0,9497.935,GNQ,Malabo
Africa,Eritrea,2024-08-04,10189.0,0.0,0.0,103.0,0.0,0.0,2988.457,ERI,Asmara
Europe,Estonia,2024-08-12,610471.0,0.0,0.0,2998.0,0.0,0.0,452169.94,EST,Tallinn
Africa,Eswatini,2024-08-04,75356.0,0.0,0.0,1427.0,0.0,0.0,61821.89,SWZ,Mbabane
Africa,Ethiopia,2024-08-04,501193.0,0.0,0.0,7574.0,0.0,0.0,3997.255,ETH,Addis Ababa
South America,Falkland Islands,2024-08-04,1923.0,0.0,0.0,0.0,0.0,0.0,547083.94,FLK,Stanley
Europe,Faroe Islands,2024-08-04,34658.0,0.0,0.0,28.0,0.0,0.0,641351.6,FRO,Torshavn
Oceania,Fiji,2024-08-04,69047.0,0.0,0.0,885.0,0.0,0.0,75097.78,FJI,Suva
